Video,CGT,True Positives,Repeated True Positives,False Positives,False Negatives,Accuracy,Precision,Recall
0,80,61,115,1297,19,0.7625,0.044919,0.7625
1,1106,579,727,2092,527,0.523508,0.216773,0.523508
2,509,167,175,1330,342,0.328094,0.111556,0.328094
3,182,92,101,880,90,0.505495,0.0946502,0.505495
4,594,93,177,1494,501,0.156566,0.0586011,0.156566
5,668,250,192,835,418,0.374251,0.230415,0.374251
6,345,138,167,2682,207,0.4,0.0489362,0.4
7,1208,734,1335,5083,474,0.607616,0.126182,0.607616
8,868,150,160,3674,718,0.172811,0.0392259,0.172811
9,877,468,530,3199,409,0.533637,0.127625,0.533637
10,480,177,129,2142,303,0.36875,0.076326,0.36875
11,1252,586,780,1414,666,0.468051,0.293,0.468051
12,128,13,23,324,115,0.101562,0.0385757,0.101562
13,33,15,7,2128,18,0.454545,0.00699953,0.454545
14,166,67,98,819,99,0.403614,0.0756208,0.403614
15,738,163,140,2713,575,0.220867,0.0566759,0.220867
16,208,15,1,2162,193,0.0721154,0.00689022,0.0721154
17,0,0,0,2128,0,-nan,0,-nan
18,728,410,636,1386,318,0.563187,0.228285,0.563187
19,746,288,239,6506,458,0.386059,0.0423903,0.386059
20,2181,971,1398,2530,1210,0.445209,0.277349,0.445209
